do-si,sgg,lon,lat
대전시,서구,127.3834158,36.35707299
대전시,유성구,127.3561363,36.36405586
대전시,중구,127.421381,36.32582989
부산시,강서구,128.9829083,35.20916389
부산시,금정구,129.0943194,35.24007778
부산시,남구,129.0865,35.13340833
부산시,동구,129.059175,35.13589444
부산시,동래구,129.0858556,35.20187222
부산시,부산진구,129.0553194,35.15995278
부산시,북구,128.992475,35.19418056
부산시,사상구,128.9933333,35.14946667
부산시,사하구,128.9770417,35.10142778
부산시,서구,129.0263778,35.09483611
부산시,수영구,129.115375,35.14246667
부산시,연제구,129.082075,35.17318611
부산시,영도구,129.0701861,35.08811667
부산시,중구,129.0345083,35.10321667
부산시,해운대구,129.1658083,35.16001944
부산시,기장군,129.2222873,35.24477541
서울,강남구,127.0495556,37.514575
서울,강동구,127.1258639,37.52736667
서울,강북구,127.0277194,37.63695556
서울,강서구,126.851675,37.54815556
서울,관악구,126.9538444,37.47538611
서울,광진구,127.0845333,37.53573889
서울,구로구,126.8895972,37.49265
서울,금천구,126.9041972,37.44910833
서울,노원구,127.0583889,37.65146111
서울,도봉구,127.0495222,37.66583333
서울,동대문구,127.0421417,37.571625
서울,동작구,126.941575,37.50965556
서울,마포구,126.9105306,37.56070556
서울,서대문구,126.9388972,37.57636667
서울,서초구,127.0348111,37.48078611
서울,성동구,127.039,37.56061111
서울,성북구,127.0203333,37.58638333
서울,송파구,127.1079306,37.51175556
서울,양천구,126.8687083,37.51423056
서울,영등포구,126.8983417,37.52361111
서울,용산구,126.9675222,37.53609444
서울,은평구,126.9312417,37.59996944
서울,종로구,126.9816417,37.57037778
서울,중구,126.9996417,37.56100278
서울,중랑구,127.0947778,37.60380556
울산시,남구,129.3301754,35.54404265
울산시,동구,129.4166919,35.50516996
울산시,북구,129.361245,35.58270783
울산시,울주군,129.2424748,35.52230648
울산시,중구,129.3328162,35.56971228
인천시,강화군,126.4878417,37.74692907
인천시,계양구,126.737744,37.53770728
인천시,남구,126.6502972,37.46369169
인천시,남동구,126.7309669,37.44971062
인천시,동구,126.6432441,37.47401607
인천시,미추홀구,126.6502972,37.46369169
인천시,부평구,126.7219068,37.50784204
인천시,서구,126.6759616,37.54546372
인천시,연수구,126.6782658,37.41038125
인천시,중구,126.6217617,37.47384843
전라,강진군,126.7691972,34.63891111
전라,고창군,126.7041083,35.43273889
전라,고흥군,127.2870556,34.60806944
전라,곡성군,127.2941083,35.27895556
전라,광양시,127.6981778,34.93753611
전라,구례군,127.4649333,35.19945833
전라,군산시,126.7388444,35.96464167
전라,김제시,126.8827528,35.800575
전라,나주시,126.7128667,35.01283889
전라,남원시,127.3925,35.41325556
전라,담양군,126.9901639,35.318125
전라,목포시,126.3944194,34.80878889
전라,무안군,126.4837,34.98736944
전라,무주군,127.6628667,36.00382778
전라,보성군,127.0820889,34.76833333
전라,부안군,126.7356778,35.72853333
전라,순창군,127.1396306,35.37138889
전라,순천시,127.4893306,34.94760556
전라,신안군,126.3817306,34.78981111
전라,여수시,127.6643861,34.75731111
전라,영광군,126.5140861,35.27416667
전라,영암군,126.6986194,34.79698889
전라,완도군,126.7570972,34.30785278
전라,완주군,127.1495972,35.84296944
전라,익산시,126.9598528,35.945275
전라,임실군,127.2847528,35.60806389
전라,장성군,126.786975,35.29881111
전라,장수군,127.5233,35.64429722
전라,장흥군,126.9091083,34.678525
전라,전주시,127.1219194,35.80918889
전라,정읍시,126.8581111,35.56687222
전라,진도군,126.2655444,34.48375
전라,진안군,127.4269667,35.78871944
전라,함평군,126.5186194,35.06274444
전라,해남군,126.6012889,34.57043611
전라,화순군,126.9885667,35.06148056
전라,광주시,127.2551569,37.42949814
제주,서귀포시,126.5125556,33.25235
제주,제주시,126.5332083,33.49631111
충청,갈매로,128.6035528,35.86854167
충청,계룡시,127.2509306,36.27183611
충청,고운동,127.236112,36.519901
충청,공주시,127.1211194,36.44361389
충청,괴산군,127.7888306,36.81243056
충청,국책연구원1로,127.29562,36.488994
충청,금남면,127.28035,36.463826
충청,금산군,127.4903083,36.10586944
충청,나리1로,126.613277,36.891878
충청,나리로,126.613277,36.891878
충청,남세종로,127.289448,36.479522
충청,노을3로,127.258565,36.47944
충청,논산시,127.1009111,36.18420278
충청,누리로,127.252375,36.475097
충청,다솜1로,127.254501,36.516156
충청,다정남로,127.241922,36.493402
충청,다정동,127.234917,36.500442
충청,다정북로,127.255849,36.49573
충청,다정중앙로,127.246898,36.496682
충청,단양군,128.3678417,36.98178056
충청,달빛1로,127.2463,36.509374
충청,달빛로,127.25066,36.508065
충청,당진군,127.684597,36.881997
충청,당진시,126.6302528,36.89075
충청,대평로,127.282581,36.469407
충청,도담동,127.2623972,36.51731111
충청,도움1로,127.247611,36.502796
충청,도움3로,127.249982,36.504689
충청,마음로,127.232222,36.518492
충청,마음안1로,127.236121,36.517357
충청,마음안로,127.236121,36.517357
충청,만남로,127.160304,36.822626
충청,보듬2로,127.265305,36.51288
충청,보듬3로,127.265305,36.51288
충청,보듬4로,127.265305,36.51288
충청,보람동,127.28094,36.478112
충청,보람동로,127.28094,36.478112
충청,보람로,127.28094,36.478112
충청,보령시,126.6148861,36.330575
충청,보은군,127.7316083,36.48653333
충청,부강면,127.370376,36.527112
충청,부여군,126.9118639,36.27282222
충청,새롬남로,127.254403,36.479121
충청,새롬동,127.254403,36.479121
충청,새롬북로,127.254403,36.479121
충청,새롬중앙로,127.254403,36.479121
충청,서산시,126.4521639,36.78209722
충청,서천군,126.6938889,36.07740556
충청,소담동,127.3000509,36.488897
충청,소정면,127.1582525,36.7223175
충청,시청대로,127.296956,36.484202
충청,아름동,127.2482222,36.51204167
충청,아산시,127.0046417,36.78710556
충청,연기군,127.282781,36.474616
충청,연기면,127.2737741,36.5418737
충청,연동면,127.3268658,36.5590889
충청,연서면,127.2716217,36.592587
충청,영동군,127.7856111,36.17205833
충청,예산군,126.850875,36.67980556
충청,옥천군,127.5736333,36.30355
충청,음성군,127.6926222,36.93740556
충청,장군면,127.2056006,36.4967934
충청,전의면,127.1955125,36.6812513
충청,절재로,127.262509,36.50843
충청,제천시,128.1931528,37.12976944
충청,조치원읍,127.298399,36.604528
충청,종촌동,127.247612,36.5119569
충청,증평군,127.5832889,36.78218056
충청,진천군,127.4376444,36.85253889
충청,천안시,127.1524667,36.804125
충청,청양군,126.8042556,36.45626944
충청,청원군,127.431119,36.549748
충청,청주시,127.5117306,36.58399722
충청,충주시,127.9281444,36.98818056
충청,태안군,126.299975,36.74266667
충청,한누리대로,127.289926,36.48545
충청,홍성군,126.6629083,36.59836111
충청,대전시,127.3848616,36.3506295
